"fecha","nombre","cdma","gsma","umts","hspa+","lte"
"2009-01","conecel",0,7603388,684096,0,0
"2009-02","conecel",0,7815731,572803,0,0
"2009-03","conecel",0,7802923,660611,0,0
"2009-04","conecel",0,7947261,593793,0,0
"2009-05","conecel",0,8009207,622374,0,0
"2009-06","conecel",0,8092652,600318,0,0
"2009-07","conecel",0,8084564,672757,0,0
"2009-08","conecel",0,8135589,680120,0,0
"2009-09","conecel",0,8170036,719529,0,0
"2009-10","conecel",0,8320558,659001,0,0
"2009-11","conecel",0,8402701,682348,0,0
"2009-12","conecel",0,8532691,758577,0,0
"2010-01","conecel",0,8653128,759892,0,0
"2010-02","conecel",0,8770619,743980,0,0
"2010-03","conecel",0,8796369,832116,0,0
"2010-04","conecel",0,8909214,810429,0,0
"2010-05","conecel",0,8986610,827865,0,0
"2010-06","conecel",0,9075650,829949,0,0
"2010-07","conecel",0,9132968,873677,0,0
"2010-08","conecel",0,9219596,881174,0,0
"2010-09","conecel",0,9299957,872114,0,0
"2010-10","conecel",0,9238584,1020104,0,0
"2010-11","conecel",0,9411356,937913,0,0
"2010-12","conecel",0,9419193,1051309,0,0
"2011-01","conecel",0,9450397,1092439,0,0
"2011-02","conecel",0,9535293,1080253,0,0
"2011-03","conecel",0,9711813,994798,0,0
"2011-04","conecel",0,9776606,1011119,0,0
"2011-05","conecel",0,9735671,1123607,0,0
"2011-06","conecel",0,9725717,1179321,0,0
"2011-07","conecel",0,9737593,1219338,0,0
"2011-08","conecel",0,9770734,1235917,0,0
"2011-09","conecel",0,9847550,1209571,0,0
"2011-10","conecel",0,9746336,1354381,0,0
"2011-11","conecel",0,9859674,1269240,0,0
"2011-12","conecel",0,9774865,1282451,0,0
"2012-01","conecel",0,9797595,1288373,0,0
"2012-02","conecel",0,9813983,1302381,0,0
"2012-03","conecel",0,9828446,1313458,6655,0
"2012-04","conecel",0,9855491,1327059,7602,0
"2012-05","conecel",0,9889363,1346262,9653,0
"2012-06","conecel",0,9917796,1363647,11691,0
"2012-07","conecel",0,9958735,1381981,12607,0
"2012-08","conecel",0,9994234,1400104,13338,0
"2012-09","conecel",0,9877885,1568017,16410,0
"2012-10","conecel",0,10075412,1439286,18205,0
"2012-11","conecel",0,10156415,1459521,20542,0
"2012-12","conecel",0,10252457,1484003,21446,0
"2013-01","conecel",0,10332675,1501189,21264,0
"2013-02","conecel",0,10417477,1518484,20602,0
"2013-03","conecel",0,10451340,1534483,20892,0
"2013-04","conecel",0,10513587,1551075,20126,0
"2013-05","conecel",0,9996082,1543562,107758,0
"2013-06","conecel",0,10036386,1556247,107391,0
"2013-07","conecel",0,10083309,1570123,107014,0
"2013-08","conecel",0,10134493,1583693,104485,0
"2013-09","conecel",0,10183985,1592977,109841,0
"2013-10","conecel",0,10245644,1606574,116226,0
"2013-11","conecel",0,10278555,1613046,117386,0
"2013-12","conecel",0,10287259,1622034,121593,0
"2014-01","conecel",0,10310310,1629482,124168,0
"2014-02","conecel",0,10341475,1642202,124363,0
"2014-03","conecel",0,10369827,1651362,124104,0
"2014-04","conecel",0,10397234,1660266,123507,0
"2014-05","conecel",0,10410517,1670603,124303,0
"2014-06","conecel",0,10423067,1676933,125752,0
"2014-07","conecel",0,10434854,1681450,129700,0
"2014-08","conecel",0,10444455,1684063,138038,0
"2014-09","conecel",0,10370114,1686293,223821,0
"2014-10","conecel",0,10218872,1687159,375403,0
"2014-11","conecel",0,10134243,1684907,451234,0
"2014-12","conecel",0,9581956,1664758,525306,0
"2015-01","conecel",0,9146755,1641546,542170,0
"2015-02","conecel",0,8685881,1616146,567987,0
"2015-03","conecel",0,8347296,1596466,561069,0
"2015-04","conecel",0,8137359,1595756,559887,0
"2015-05","conecel",0,7867450,1594391,645636,0
"2015-06","conecel",0,7721787,1569091,631840,0
"2015-07","conecel",0,7507427,1592522,519676,0
"2015-08","conecel",0,7439699,1529088,479307,0
"2015-09","conecel",0,7324458,1506883,441363,0
"2015-10","conecel",0,7225301,1441047,312157,105991
"2015-11","conecel",0,7048699,1346691,256123,136398
